,shared_levin_classes,verb,pair,label,freq,total_senses,trans_senses,all_sense_defs,trans_sense_defs,trans_levin_classes
0,judgment,abuse,abuse-insult,polysemous,10.25,3,3,"abuse.01: mistreat a person or animal, often repeatedly, with violence or with cruelty; abuse.02: use (something) to bad effect or for a bad purpose; misuse; abuse.03: use offending language; ","abuse.01: mistreat a person or animal, often repeatedly, with violence or with cruelty; abuse.02: use (something) to bad effect or for a bad purpose; misuse; abuse.03: use offending language; ",judgment
1,judgment,insult,abuse-insult,monosemous,12.53,1,1,"insult.01: call names, disparaging; ","insult.01: call names, disparaging; ","amuse,judgment"
2,allow,allow,allow-approve,polysemous,44.37,3,3,allow.01: let; allow.02: allocate; allow.03: admit truth of proposition; ,allow.01: let; allow.02: allocate; allow.03: admit truth of proposition; ,"admit,allow,conjecture,future_having"
3,allow,approve,allow-approve,monosemous,11.37,1,1,approve.01: assent to; ,approve.01: assent to; ,"allow,best_guess,judgment"
4,hit,beat,beat-slap,polysemous,131.69,3,3,beat.01: strike; beat.02: (cause) pulsating motion that often makes sound; beat.03: win over some competitor; ,beat.01: strike; beat.02: (cause) pulsating motion that often makes sound; beat.03: win over some competitor; ,"hit,sound_emission"
5,hit,slap,beat-slap,monosemous,12.47,1,1,slap.01: hit with a flat object; ,slap.01: hit with a flat object; ,"bump,hit,throw"
6,tape,belt,belt-button,polysemous,24.35,3,3,"belt.01: sing loudly and forcefully; belt.02: deliver a blow to, possibly with a belt; belt.03: fasten with a belt; ","belt.01: sing loudly and forcefully; belt.02: deliver a blow to, possibly with a belt; belt.03: fasten with a belt; ","performance,spank,tape"
7,tape,button,belt-button,monosemous,28.25,1,1,button.01: fasten the buttons on; ,button.01: fasten the buttons on; ,tape
8,hurt,break,break-burn,polysemous,221.08,5,5,"break.01: break, cause to not be whole; break.02: break_in: gain entry; break.13: happen, come to light, onset, beginning; break.16: separate one entity from another; break.18: violate (the law, an oath, trust, etc); ","break.01: break, cause to not be whole; break.02: break_in: gain entry; break.13: happen, come to light, onset, beginning; break.16: separate one entity from another; break.18: violate (the law, an oath, trust, etc); ","appear,break,hurt,split"
9,hurt,burn,break-burn,monosemous,55.22,1,1,burn.01: (cause to) be on fire; ,burn.01: (cause to) be on fire; ,"entity_specific_cos,entity_specific_modes_being,hurt,light_emission,other_cos"
10,meet,box,box-fight,polysemous,89.75,3,3,"box.01: to store in a box, put in a box to store; box.02: enclosing (/being enclosed), forming an enclosure; box.03: fight, boxing style; ","box.01: to store in a box, put in a box to store; box.02: enclosing (/being enclosed), forming an enclosure; box.03: fight, boxing style; ","meet,pocket"
11,meet,fight,box-fight,monosemous,201.08,1,1,fight.01: fight; ,fight.01: fight; ,"battle,meet"
12,build,build,build-shape,polysemous,48.08,3,3,build.01: construct; build.02: grow; build.03: include; ,build.01: construct; build.02: grow; build.03: include; ,"build,calibratable_cos"
13,build,shape,build-shape,monosemous,30.24,1,1,shape.01: shape; ,shape.01: shape; ,"build,engender,reflexive_appearance"
14,throw,cast,cast-launch,polysemous,23.14,4,4,"cast.01: throw outward, throw (dice, fishing lines, shadows); cast.02: name, assign a role; cast.03: make 3d reproductions from a mold; cast.04: bandage in plaster; ","cast.01: throw outward, throw (dice, fishing lines, shadows); cast.02: name, assign a role; cast.03: make 3d reproductions from a mold; cast.04: bandage in plaster; ","build,characterize,throw"
15,throw,launch,cast-launch,monosemous,19.96,1,1,"launch.01: set off, introduce, bring up, start, take off; ","launch.01: set off, introduce, bring up, start, take off; ","establish,throw"
16,get,catch,catch-fetch,polysemous,135.51,3,3,"catch.01: get; catch.02: come upon, find; catch.03: trap; ","catch.01: get; catch.02: come upon, find; catch.03: trap; ",get
