rater_id,sentence_type,naturalness,typicality,verb,sense,sentence,surprisal,freq,rating,verbnet_class
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,arrange,arrange.01: build,The baby arranged the blocks.,151.75505,2289,99,build
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,arrange,arrange.01: build,The time arranged the blocks.,136.6864,2289,0,build
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,arrange,arrange.01: build,The baby arranged the something.,167.02727,2289,29,build
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,arrange,arrange.01: build,The time arranged the something.,141.04214,2289,0,build
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,bounce,"bounce.01: boing boing boing,",The player bounced the ball.,149.06245,666,100,roll
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,bounce,"bounce.01: boing boing boing,",The player bounced the bottle.,166.95999,666,12,roll
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,bounce,"bounce.01: boing boing boing,",The loudly bounced the ball.,146.55489,666,0,roll
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,bounce,"bounce.01: boing boing boing,",The loudly bounced the bottle.,178.5292,666,0,roll
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,bump,bump.01: hit gently,The car bumped the curb.,128.44438,144,100,hit
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,bump,bump.02: move slightly,The car bumped the chandelier.,151.72713,144,21,hit
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,bump,bump.01: hit gently,The gently bumped the curb.,119.94051,144,0,hit
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,bump,bump.01: hit gently,The gently bumped the chandelier.,140.89076,144,0,hit
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,butcher,butcher.01: cut up meat for sale,The farmer butchered the goat.,118.51994,250,100,murder
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,butcher,butcher.01: cut up meat for sale,The lawyer butchered the goat.,149.42926,250,29,murder
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,butcher,butcher.01: cut up meat for sale,The farmer butchered the it.,133.7114,250,17,murder
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,butcher,butcher.01: cut up meat for sale,The lawyer butchered the it.,134.4258,250,4,murder
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,carry,"carry.01: bring with, have",The assistant carried the purse.,205.41194,3332,100,carry
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,carry,"carry.01: bring with, have",The assistant carried the plane.,222.9459,3332,22,carry
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,carry,"carry.01: bring with, have",The carry carried the purse.,125.436775,3332,0,carry
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,carry,"carry.01: bring with, have",The carry carried the plane.,158.42752,3332,0,carry
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,clip,"clip.01: to cut, cut off, or cut out",The gardener clipped the hedge.,116.95963,555,100,tape
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,clip,"clip.01: to cut, cut off, or cut out",The pillow clipped the hedge.,145.4549,555,12,tape
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,clip,"clip.01: to cut, cut off, or cut out",The gardener clipped the was.,138.4288,555,0,tape
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,clip,"clip.01: to cut, cut off, or cut out",The pillow clipped the was.,149.30475,555,0,tape
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,deliver,"deliver.01: give, send",The mailman delivered the package.,122.013626,2860,100,send
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,deliver,"deliver.01: give, send",The mailman delivered the fire.,150.93918,2860,23,send
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,deliver,"deliver.01: give, send",The they delivered the package.,132.6894,2860,7,send
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,deliver,"deliver.01: give, send",The they delivered the fire.,151.5764,2860,0,send
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,design,design.01: design,The architect designed the building.,131.2433,4026,100,create
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,design,design.01: design,The ballerina designed the building.,127.19399,4026,38,create
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,design,design.01: design,The architect designed the anything.,153.07686,4026,22,create
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,design,design.01: design,The ballerina designed the anything.,156.91675,4026,6,create
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the patient.,148.20367,2557,100,banish
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged the candle.,164.92274,2557,27,banish
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged patient the.,160.35484,2557,27,banish
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,discharge,"discharge.101: to release, release from a location (not stuff being released itself)",The hospital discharged candle the.,160.35484,2557,13,banish
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,discover,discover.01: find (out),The scientist discovered the cure.,143.99045,3124,100,encounter
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,discover,discover.01: find (out),The scientist discovered the wall.,184.06294,3124,34,encounter
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,discover,discover.01: find (out),The someone discovered the theorem.,181.91446,3124,16,encounter
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,discover,discover.01: find (out),The someone discovered the wall.,170.05168,3124,25,encounter
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,dismiss,"dismiss.01: remove, release",The company dismissed the worker.,170.07234,3764,100,fire
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,dismiss,dismiss.02: label contemptuously,The criminal dismissed the worker.,139.5649,3764,35,fire
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,dismiss,"dismiss.01: remove, release",The company dismissed the less.,186.9836,3764,14,fire
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,dismiss,"dismiss.01: remove, release",The criminal dismissed the less.,137.24055,3764,18,fire
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,drain,"drain.01: unfill, empty",The housekeeper drained the tub.,92.41887,2519,100,"clear,other_cos"
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,drain,"drain.01: unfill, empty",The housekeeper drained the book.,138.9025,2519,27,"clear,other_cos"
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,drain,"drain.01: unfill, empty",The slowly drained the tub.,125.95179,2519,14,"clear,other_cos"
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,drain,"drain.01: unfill, empty",The slowly drained the book.,149.75964,2519,2,"clear,other_cos"
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,drive,drive.01: drive or be driven around in a vehicle,The chauffeur drove the limo.,141.96117,3239,100,throw
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,drive,drive.01: drive or be driven around in a vehicle,The chef drove the limo.,113.46709,3239,40,throw
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,drive,drive.01: drive or be driven around in a vehicle,The chauffeur drove the carefully.,163.68642,3239,17,throw
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,drive,drive.01: drive or be driven around in a vehicle,The chef drove the carefully.,120.735985,3239,0,throw
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,find,find.01: discovery,The bee found the flower.,148.53693,4443,100,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,find,find.01: discovery,The spoon found the flower.,135.21568,4443,39,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,find,find.01: discovery,The bee found the nothing.,165.98349,4443,26,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,find,find.01: discovery,The spoon found the nothing.,121.907166,4443,8,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,line,"line.01: provide a lining, accompany in line-like fashion",The tailor lined the coat.,132.86687,80,100,fill
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,line,"line.01: provide a lining, accompany in line-like fashion",The butterfly lined the coat.,178.28403,80,33,fill
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,line,"line.01: provide a lining, accompany in line-like fashion",The tailor lined the with.,149.61891,80,33,fill
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,line,"line.01: provide a lining, accompany in line-like fashion",The butterfly lined the with.,173.58043,80,14,fill
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,mock,mock.01: make fun of,The comedian mocked the politician.,214.24821,1998,100,judgment
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,mock,mock.01: make fun of,The cat mocked the politician.,151.30005,1998,44,judgment
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,mock,mock.01: make fun of,The comedian mocked the for.,198.0009,1998,28,judgment
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,mock,mock.01: make fun of,The cat mocked the for.,144.98041,1998,15,judgment
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,mount,mount.01: intentional climber,The rider mounted the horse.,122.38104,3950,100,put
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,mount,mount.01: intentional climber,The rider mounted the pen.,145.02759,3950,23,put
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,mount,mount.01: intentional climber,The up mounted the horse.,153.0613,3950,4,put
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,mount,mount.01: intentional climber,The up mounted the pen.,169.38776,3950,2,put
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,notice,notice.01: become aware of,The stylist noticed the wrinkle.,144.04419,2423,100,see
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,notice,notice.01: become aware of,The toothbrush noticed the wrinkle.,176.88278,2423,25,see
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,notice,notice.01: become aware of,The stylist noticed the abruptly.,149.0688,2423,29,see
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,notice,notice.01: become aware of,The toothbrush noticed the abruptly.,164.80254,2423,16,see
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,order,order.02: request to be delivered,The diner ordered the wine.,153.56467,1874,100,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,atypical,order,order.02: request to be delivered,The infant ordered the wine.,180.9403,1874,15,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,typical,order,order.02: request to be delivered,The diner ordered the expensive.,158.42934,1874,44,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,unnatural,atypical,order,order.02: request to be delivered,The infant ordered the expensive.,207.35938,1874,23,get
a57e91a3-ab59-4081-9c38-6b39aa30689a,target,natural,typical,permit,"permit.01: permit, let, allow",The college permitted the event.,149.05353,4454,100,allow
